"","station","log","lat","type","dist","elevation"
"348",238374,129.3552,35.6256,"기타나지",0,33
"346",238375,129.1138,35.5583,"기타나지",0,103
"3507",238376,129.3195,35.5679,"밭",0,48
"3511",238381,129.4267,35.5088,"주거지역",0,34
"353",238377,129.2091,35.4615,"논",0,54
"431",541111,127.2921,36.5925,"공공시설지역",0,49
"428",541112,127.2472,36.5119,"침엽수림",0,43
"445",541113,127.2514,36.4761,"주거지역",0,32
"4311",541114,127.3703,36.527,"공공시설지역",0,30
"638",131111,127.0105,37.2838,"공공시설지역",0,65
"6381",131112,127.0292,37.2634,"공공시설지역",0,49
"6382",131113,127.0295,37.2855,"주거지역",0,72
"652",131114,127.0563,37.247,"공공시설지역",0,39
"592",131115,126.9753,37.2928,"공공시설지역",0,50
"5921",131117,126.9766,37.2526,"주거지역",0,28
"5922",131118,126.9572,37.2662,"밭",0,39
"5904",131141,126.9306,37.3901,"상업지역",0,45
"5905",131142,126.958,37.3941,"공공시설지역",0,35
"5906",131144,126.9526,37.3813,"교통시설지역",0,45
"5907",131145,126.9176,37.4051,"공공시설지역",0,30
"637",131121,127.1554,37.4494,"주거지역",0,88
"6383",131123,127.1114,37.3615,"공공시설지역",0,60
"636",131124,127.119,37.3826,"공공시설지역",0,45
"6371",131126,127.1312,37.4572,"공공시설지역",0,58
"6361",131128,127.0807,37.3905,"논",0,69
"6372",131129,127.1645,37.4329,"교통시설지역",0,73
"6203",131131,127.0408,37.7356,"상업지역",0,47
"6204",131132,127.0477,37.7463,"공공시설지역",0,49
"589",131161,126.8698,37.4763,"상업지역",0,21
"5908",131163,126.8849,37.4522,"기타나지",0,8
"591",131191,126.8304,37.3221,"공공시설지역",0,30
"5911",131192,126.8122,37.3346,"상업지역",0,14
"5912",131193,126.8723,37.2963,"주거지역",0,29
"5913",131194,126.8019,37.3316,"공공시설지역",0,30
"5914",131195,126.8611,37.332,"주거지역",0,21
"599",131196,126.5853,37.2437,"주거지역",0,17
"5915",131197,126.8335,37.3049,"공공시설지역",0,10
"409",131341,127.1128,36.9923,"공공시설지역",0,32
"373",131342,126.9314,36.9859,"공공시설지역",0,25
"372",131343,126.8455,36.9746,"공업지역",0,8
"654",131344,127.0601,37.0816,"주거지역",0,22
"606",131345,126.9182,37.0203,"기타나지",0,38
"5909",131201,126.9943,37.4239,"기타나지",0,59
"6362",131202,127.0023,37.4491,"공공시설지역",0,35
"6231",131211,127.1297,37.5945,"공공시설지역",0,44
"6232",131212,127.1381,37.6186,"주거지역",0,33
"5923",131222,126.9504,37.3194,"주거지역",0,52
"5924",131223,126.976,37.3477,"주거지역",0,63
"5782",131381,126.8419,37.6249,"침엽수림",0,49
"577",131382,126.8134,37.6855,"밭",5434.18179564811,50
"5771",131384,126.8867,37.6664,"밭",0,37
"5783",131385,126.7564,37.6683,"내륙수",4805.68223626486,17
"640",131392,127.2579,37.4112,"상업지역",0,49
"639",131394,127.2286,37.3662,"공업지역",0,86
"5925",131501,126.9452,37.3537,"주거지역",0,67
"5926",131502,126.9336,37.3617,"공공시설지역",0,60
"588",131231,126.7401,37.3468,"기타나지",0,8
"5881",131232,126.7241,37.3372,"공업지역",0,9
"5891",131233,126.7884,37.4431,"주거지역",0,20
"5892",131234,126.8618,37.3861,"상업지역",0,41
"5893",131235,126.804,37.3801,"공공시설지역",0,15
"5894",831151,126.7999,37.48,"주거지역",0,44
"5784",831152,126.7737,37.5199,"주거지역",0,12
"5895",831153,126.7701,37.4939,"주거지역",0,18
"5785",831154,126.7962,37.528,"논",0,14
"621",131241,127.2162,37.6356,"공공시설지역",0,63
"6211",131242,127.2047,37.6987,"공공시설지역",0,74
"6205",131243,127.1159,37.6529,"하우스재배지",0,52
"624",131244,127.3007,37.6578,"기타나지",0,101
"653",131411,127.2014,37.2345,"공공시설지역",0,93
"6384",131412,127.0951,37.3279,"상업지역",0,86
"6385",131413,127.1151,37.2802,"주거지역",0,88
"6391",131415,127.2423,37.3295,"기타재배지",0,73
"6531",131416,127.1962,37.1411,"주거지역",0,53
"656",131417,127.375,37.1631,"상업지역",0,105
"5767",131471,126.7168,37.6193,"공공시설지역",0,13
"5786",131472,126.7628,37.6067,"공공시설지역",0,28
"575",131473,126.5973,37.6919,"논",7424.23430156429,27
"5768",131474,126.6291,37.6533,"침엽수림",3140.96977767598,24
"6521",131531,127.0771,37.1592,"밭",0,22
"6233",131541,127.2146,37.5391,"공공시설지역",0,31
"603",131551,126.824,37.2115,"공공시설지역",0,19
"604",131552,126.9202,37.1324,"공공시설지역",0,35
"6522",131553,127.0723,37.1969,"주거지역",0,39
"6523",131555,127.1195,37.1961,"침엽수림",0,79
"605",131554,126.8154,37.0898,"밭",0,33
"5916",131556,126.8187,37.2814,"연안습지",0,-32768
"5772",131561,126.9837,37.8246,"침엽수림",8279.17471854369,99
"607",131562,127.0843,37.7926,"상업지역",3585.35590757948,92
"6071",131571,127.0613,37.9176,"활엽수림",7331.66709945203,69
"658",131581,127.2799,37.0076,"교통시설지역",0,65
"655",131583,127.1726,37.0012,"주거지역",0,33
"659",131584,127.4244,37.0745,"논",0,92
"647",131591,127.6289,37.2987,"주거지역",0,47
"646",131592,127.5847,37.3712,"논",0,36
"745",131601,127.0748,38.0964,"공공시설지역",15367.9760005659,63
"614",131611,127.5098,37.8312,"공공시설지역",0,70
"625",131612,127.4947,37.6762,"주거지역",0,70
"644",131621,127.5962,37.4872,"주거지역",0,74
"641",131622,127.4866,37.4971,"공공시설지역",0,37
"643",131442,127.4409,37.2835,"주거지역",0,75
"663",131443,127.6297,37.1143,"논",0,64
"6431",131444,127.4867,37.2833,"주거지역",0,72
"5773",131371,126.7739,37.7563,"혼효림",8937.62117723132,37
"5774",131372,126.7564,37.7232,"혼효림",10456.6562006926,30
"5775",131374,126.8332,37.8308,"혼효림",9694.79987575142,28
"6072",131453,127.1592,37.8535,"논",0,119
"608",131454,127.3173,37.9612,"침엽수림",0,160
"613",132112,127.7205,37.8756,"주거지역",0,83
"615",132113,127.7495,37.8571,"공공시설지역",0,90
"6131",132118,127.7282,37.9054,"위락시설지역",0,77
"682",632132,128.903,37.76,"상업지역",0,13
"651",632121,127.9475,37.3528,"상업지역",0,130
"6511",632122,127.9479,37.337,"공공시설지역",0,150
"650",632124,127.8173,37.3128,"공공시설지역",0,73
